USE project_db_v1;

DELETE FROM management;

INSERT INTO management(management_id, management_dob, management_hiredate, management_salary, management_gender, management_mobile, management_govt_id, management_passport, management_category, management_first_name, management_last_name, management_password, management_username, management_email, management_qualification, extra_col_1, management_address) VALUES
(1, '1974-10-05', '2023-08-12', 40687, 'Female', '+09 7129 98232', '86838', '63792I39', 'Receptionist', 'Ali', 'Montgomery', '8C54EWHKNHD8NT9', 'Abreu2022', 'DeeannaAbreu59@example.com', '\r\nBachelor''s Degree in Auditing', 'U58', '18 S Rose Hill Ln'),
(2, '1982-06-03', '2020-03-10', 100578, 'Female', '+08-3551-575928', '72982', 'YRHI5S0W', 'Accountant', 'Kay', 'Still', 'PPLH44ST', 'Cathey1980', 'ZonaAmaral638@nowhere.com', '\r\nBachelor''s Degree in Auditing', '14Y10MUHY0X78B9PXR9J938P28T3GPUX50L7N4HZX00CR0XY9W', '711 South Riddle Hill Loop'),
(3, '1970-01-07', '2021-06-16', 67411, 'Female', '+07 (2816) 4918', '32630', '9QLZM930', 'Receptionist', 'Linsey', 'Dayton', '302T6P12', 'Aleta1980', 'Addison@example.com', '\r\nBachelor''s Degree in Auditing', 'WRZ1B0WQ0JM48L', '241 East Riverside Highway'),
(4, '2016-05-22', '2023-06-17', 72782, 'Male', '+07 (0733) 4360', '93075', 'SI59SNB9', 'Receptionist', 'Sonny', 'Gagnon', 'XJ584Y2P2J8XR1', 'Melba2', 'Abney88@nowhere.com', 'Sales', 'J5LJSQN', '1679 South Lake Lane'),
(5, '2020-05-09', '2023-01-07', 74945, 'Male', '+07 (0004) 3825', '75928', 'KI03VM1Z', 'Receptionist', 'King', 'Christie', '0YECU87EN1K', 'Vanessa1985', 'Nicolette_Flores98@nowhere.com', '\r\nBachelor''s Degree in Office Administration', '5CH8YSL', '394 Pine Tree Cir'),
(6, '1987-12-23', '2014-01-07', 76757, 'Male', '+07 (9664) 1640', '57080', 'CP6GCHH2', 'Accountant', 'Natashia', 'Kinsey', 'S8948432I', 'Wolf35', 'qjjvmdzc5602@example.com', '\r\nBachelor''s Degree in Management', 'EZXS30B6H0CQ774OD87WV95835I2091JZ138897', '552 Red Riverview Circle'),
(7, '1972-03-12', '2020-07-12', 72557, 'Female', '+07 (4001) 7167', '96491', '8M5A8S7S', 'Admin', 'Adela', 'Wimberly', 'H53RSH4HRG25HW9', 'Gala2015', 'AldaTitus@example.com', '\r\nBachelor''s Degree in Management', 'O9685DMZECWDS', '492 South Brentwood Ln'),
(8, '2023-11-13', '2023-11-29', 110713, 'Male', '+08-6656-342694', '81993', 'AOX99959', 'Accountant', 'Zelma', 'Deal', 'D4A146DA7B84N2', 'Buster45', 'Amaya@example.com', 'Undergraduate', '4EVULXZO6H68Z4XH7725001XO80HV9TU4XT667K4B9D', '256 Oak Court'),
(9, '1980-07-20', '2015-10-25', 80405, 'Female', '+07 (1225) 4685', '94696', 'I401BVLH', 'Admin', 'Bertram', 'Mcclain', 'Y33PXLO9XT', 'Aiko86', 'AustinClinton@example.com', '\r\nBachelor''s Degree in Accounting', NULL, '361 Meadowview Way'),
(10, '1983-11-07', '2018-12-26', 76079, 'Male', '+09 6117 04638', '36058', '601Z64E6', 'Receptionist', 'Chas', 'Beyer', '7TPQ8C902', 'Abel614', 'crfipqej_kmjfuiub@example.com', '\r\nBachelor''s Degree in Economics with a concentration in Accounting', '1', '1191 SW Rushwood Ln'),
(11, '2004-11-17', '2016-03-12', 26150, 'Female', '+07 (3875) 6561', '56450', NULL, 'Accountant', 'Diedre', 'Kirby', 'GEJ514X46', 'Alayna2019', 'Paquette664@nowhere.com', '\r\nBachelor''s Degree in Office Administration', '03WGK57YHI5R97Q', '3266 E Stonewood Pkwy'),
